FID,port_id,data_src_c,port_coor_,the_geom
portlocations.33,PTPRG,5105,7,POINT (39.052307129 -27.97052002)
portlocations.34,PTLAJ,5105,7,POINT (39.3795166020001 -31.1704101559999)
portlocations.35,ESVLC,2110,1,POINT (39.4492079130001 -0.320764475999965)
portlocations.36,ESCAS,2110,1,POINT (39.9708025 0.0217620000000238)
portlocations.37,PTFDF,2110,3,POINT (40.1486816410001 -8.85809326199995)
portlocations.38,PTAVE,2110,1,POINT (40.649291992 -8.72991943399995)
portlocations.39,MQFDF,9998,1,POINT (14.599487305 -61.066711426)
portlocations.40,GPPTP,2109,1,POINT (16.233703613 -61.53302002)
portlocations.41,PTLEI,2109,1,POINT (41.1830995 -8.70298149999996)
portlocations.42,PTVDC,2110,2,POINT (41.683898926 -8.84228515599995)
portlocations.43,ESVGO,2110,1,POINT (42.241088867 -8.72998046899994)
portlocations.44,ESMPG,9998,1,POINT (42.398498535 -8.69329833999996)
portlocations.45,ESVIL,2107,3,POINT (42.5966796870001 -8.77539062499994)
portlocations.46,ESPAS,5106,6,POINT (43.321899414 -1.91979980499997)
portlocations.47,ESBIO,2109,1,POINT (43.3469545 -3.03222249999993)
portlocations.48,ESLCG,2110,1,POINT (43.3633955000001 -8.39575399999995)
portlocations.49,ESSDR,2110,1,POINT (43.457092285 -3.80841064499998)
portlocations.50,ESFRO,2110,1,POINT (43.476143 -8.24230599999993)
portlocations.51,FRBAY,2110,1,POINT (43.5065307620001 -1.48968505899995)
portlocations.52,ESGIJ,2110,1,POINT (43.5599555000001 -5.68559049999993)
portlocations.53,ESAVS,2110,2,POINT (43.5880737300001 -5.92932128899997)
portlocations.54,FRBOD,2109,5,POINT (44.8356933590001 -0.562988280999946)
portlocations.55,FRLRH,2110,3,POINT (46.1542968750001 -1.15917968799994)
portlocations.56,FRLSO,2110,3,POINT (46.494506836 -1.79119872999996)
portlocations.57,FRNTE,9998,1,POINT (47.1976928710001 -1.58258056599993)
portlocations.58,FRLRT,2110,3,POINT (47.7421264650001 -3.35009765599995)
portlocations.59,FRBES,2110,2,POINT (48.379699707 -4.47558593799994)
portlocations.60,FRSML,2110,1,POINT (48.645874023 -2.02807617199994)
portlocations.61,FRROS,2110,1,POINT (48.7243041990001 -3.98217773399995)
portlocations.62,FRCFR,2109,1,POINT (49.183898926 -0.352478026999961)
portlocations.63,FRURO,2110,1,POINT (49.4398803710001 1.04589843700006)
portlocations.64,FRLEH,2110,1,POINT (49.4796343610001 0.0964717860000519)
portlocations.65,FRCER,2110,1,POINT (49.6491088870001 -1.61322021499996)
portlocations.66,FRDPE,2110,1,POINT (49.934875488 1.08428955100004)
portlocations.67,GBFAL,2110,2,POINT (50.1535034180001 -5.05999755899995)
portlocations.68,GBFOY,5106,6,POINT (50.335327148 -4.63421630899995)
portlocations.69,GBPLY,2110,1,POINT (50.363098145 -4.13519287099996)
portlocations.70,GBWEY,2110,1,POINT (50.6058959960001 -2.44641113299997)
portlocations.71,GBPOO,2109,1,POINT (50.7120971680001 -1.98278808599997)
portlocations.72,GBNHV,5106,1,POINT (50.7824707030001 0.0588989260000403)
portlocations.73,GBPME,2110,1,POINT (50.808898926 -1.10620117199994)
portlocations.74,GBSHO,2110,1,POINT (50.8306884770001 -0.250915526999961)
portlocations.75,GBSOU,2110,1,POINT (50.8963216400001 -1.40591093899997)
portlocations.76,GBMED,9998,1,POINT (51.400561494 0.552908627000022)
portlocations.77,GBBRS,2110,1,POINT (51.4497070310001 -2.62402343799994)
portlocations.78,GBCDF,2109,1,POINT (51.4533081050001 -3.15960693399995)
portlocations.79,GBLON,2109,1,POINT (51.5054245000001 -0.0791379999999435)
