FID,country,name,n_turbines,power_mw,status,year,dist_coast,notes,the_geom
windfarms.202,Norway,Marine Energy Test Centre Karmoy Floating,2,10,Production,2019,5360.0225662,,POINT (59.1560000002999 5.0779999997003)
windfarms.196,Netherlands,Windplanblauw,24,132,Construction,,6714.93926475,,POINT (52.6000000001999 5.58000000009997)
windfarms.203,Norway,SeaTwirl S2,1,1,Approved,,374.27371017,,POINT (59.4000000001 5.19999999960032)
windfarms.241,Portugal,WindFloat Atlantic,3,25,Production,2020,11992.7208707,,POINT (39.8799999999001 -9.12000000019981)
windfarms.243,Portugal,WindFloat Prototype,1,2,Dismantled,2012,6019.18270555,2016,POINT (41.4599999998002 -8.85000000019983)
windfarms.260,Spain,Elican,1,5,Production,2018,3211.17407241,,POINT (28.0400000000001 -15.3599999996002)
windfarms.266,Spain,Gamesa 5MW Test Turbine,1,4.5,Production,2013,22.36593438,,POINT (27.8500000001999 -15.3999999997002)
windfarms.210,Poland,A-Wind,90,450,Planned,,25390.2169917,,POINT (55.0499999998002 17.8399999997003)
windfarms.216,Poland,Baltyk I Phase 1,190,1140,Planned,,51081.3317156,,POINT (55.5200000002998 17.2599999996003)
windfarms.217,Poland,Baltyk I Phase 2,70,420,Planned,,57895.8273363,,POINT (55.5099999996004 17.3799999999001)
windfarms.242,Portugal,WindFloat Atlantic 2,30,125,Planned,,22863.7935908,,POINT (39.9299999998002 -9.2299999998001)
windfarms.262,Spain,Flocan 5,5,25,Planned,,6224.22135854,,POINT (27.7649999996503 -15.3920000003997)
windfarms.287,Spain,Plocan,5,50,Production,2017,3211.17407241,,POINT (28.0400000000001 -15.3599999996002)
windfarms.306,Sweden,Bockstigen Offshore,5,2.75,Production,1998,2355.56619481,,POINT (57.0360000003998 18.1499999998002)
windfarms.320,Sweden,Karehamn,16,48,Production,2013,5343.59621177,,POINT (56.9799999999001 17.0199999999001)
windfarms.326,Sweden,Lillgrund,15,34.5,Production,2007,7813.54345421,,POINT (55.5090000002498 12.7630000003498)
windfarms.327,Sweden,Lillgrund,21,48.3,Production,2007,7813.54345421,,POINT (55.5090000002498 12.7630000003498)
windfarms.328,Sweden,Lillgrund,12,27.6,Production,2007,7813.54345421,,POINT (55.5090000002498 12.7630000003498)
windfarms.333,Sweden,Nogersund,1,0.22,Dismantled,1990,269.13428766,2008,POINT (56.0029999995504 14.7420000000999)
windfarms.338,Sweden,SeaTwirl 3MW,1,3,Dismantled,2011,3153.88174452,2019,POINT (58.2499999997003 11.3000000000001)
windfarms.289,Spain,PLOCAN W2Power WIP10 Scale prototype,1,0.2,Dismantled,,2592.06295617,,POINT (28.0400000000001 -15.3700000002997)
windfarms.322,Sweden,Kriegers Flak II,128,640,Approved,,32450.0249321,,POINT (55.0700000002998 13.1)
windfarms.272,Spain,Granadilla,,50,Planned,,1082.32358941,,POINT (28.4300000002998 -16.2599999996003)
windfarms.349,Sweden,Utgrunden I,7,10.5,Dismantled,2000,7765.0875977,2018,POINT (56.3440000001999 16.2800000002998)
windfarms.351,Sweden,Vänern,7,21,Production,2009,113427.734941,,POINT (59.2649999996503 13.3780000001999)
windfarms.352,Sweden,Vänern,3,9,Production,2009,113427.734941,,POINT (59.2649999996503 13.3780000001999)
windfarms.355,Sweden,Yttre Stengrund 1,1,2,Dismantled,2001,3246.73874158,2015,POINT (56.16700000005 16.0189999998502)
windfarms.356,Sweden,Yttre Stengrund 2-3-4,3,6,Dismantled,2001,3246.73874158,2015,POINT (56.16700000005 16.0189999998502)
windfarms.357,Sweden,Yttre Stengrund 5,1,2,Dismantled,2001,3246.73874158,2015,POINT (56.16700000005 16.0189999998502)
windfarms.403,United Kingdom,Walney,51,183.6,Production,2011,26837.110949,,POINT (53.8100000002999 -4.90699999995002)
windfarms.347,Sweden,Sylen,261,5000,Planned,,59167.4164779,,POINT (61.3800000001 18.5199999996004)
windfarms.381,United Kingdom,Forthwind Offshore Wind Demonstration Project - 2,7,53,Planned,,3147.54809787,,POINT (56.1399999996004 -3.01999999980012)
windfarms.406,Belgium,Thorntonbank,6,30.45,Production,2008,26229.4112244,,POINT (51.5399999998002 2.93999999980019)
windfarms.407,Belgium,Thorntonbank,30,184.5,Production,2013,26856.8753142,,POINT (51.5600000002999 2.97000000009996)
windfarms.408,Belgium,Thorntonbank,18,110.7,Production,2013,27111.3589111,,POINT (51.5399999998002 2.92000000019988)
windfarms.411,Germany,Nordsee One Offshore,54,332.1,Production,2017,31055.678053,,POINT (54.4440000003997 7.68200000000007)
windfarms.424,United Kingdom,Beatrice Demonstration,2,10,Dismantled,2007,25483.2452647,2016,POINT (58.3039999997003 -2.69199999970016)
windfarms.425,United Kingdom,EOWDC,9,75.6,Production,2018,3440.14827434,,POINT (57.2300000002998 -1.98999999970016)
windfarms.426,United Kingdom,EOWDC,2,17.6,Production,2018,3440.14827434,,POINT (57.2300000002998 -1.98999999970016)
windfarms.422,Spain,DemoSATH,1,2,Construction,,3765.7044964,,POINT (43.4700000001 -2.87999999990001)
windfarms.3,Denmark,Bornholm Bassin Ost,,1500,Planned,,41357.1617598,,POINT (55.1399999998002 15.9600000003998)
windfarms.4,Denmark,Bornholm Bassin Syd,,1500,Planned,,52608.8586695,,POINT (54.8799999996003 15.9600000003998)
