FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.1500,United Kingdom,ba4069ee-6a7e-4e53-bd05-ff98fb9d,Operational,PRODUCTION (P) JACKET,PLATFORM,PRODUCTION (P) JACKET,CNOOC INTERNATIONAL,,,,,03/06/2005,,,55243.2905448,"Height of jacket substructure above LAT -26m. Temp Nav Aid - 1 no. 10 nautical mile main lantern, with GPS synchro unit.",POINT (57.8135645510001 -0.975774267999952)
platforms.1501,United Kingdom,a87dd1e7-8d51-42d6-b3bc-a17b2718,Operational,BOOSTER PLATFORM 36/22A NORPIPE A.S,PLATFORM,BOOSTER PLATFORM 36/22A NORPIPE A.S,CONOCOPHILLIPS,,,,,,,,102590.905354,Asset transfer from ConocoPhillips to Chrysaor October 2019,POINT (55.2899753450001 0.201776489000054)
platforms.1502,United Kingdom,a6fa8013-5e72-4aff-be08-4ba06b5c,Operational,HINKLEY POINT WAVERIDER BUOY KFB20/2012 AREA5,BUOY,HINKLEY POINT WAVERIDER BUOY KFB20/2012 AREA5,CEFAS,,,,,14/09/2012,,,2804.72374946,,POINT (51.2335040400001 -3.15876448799997)
platforms.1503,United Kingdom,b5a60863-f367-4151-84f4-f2e08cf7,Operational,CLIPPER PC,PLATFORM,CLIPPER PC,ROYAL DUTCH SHELL,,,,,01/01/1991,,,65249.8888141,,POINT (53.4587632330001 1.73202562800003)
platforms.1504,United Kingdom,acbfe39d-affb-43ae-8f63-20987d96,Operational,WEST SOLE B,PLATFORM,PRODUCTION & ACCOMMODATION STEEL,PERENCO OIL & GAS,,,,,,,,65334.378386,,POINT (53.7185647310001 1.11786559500007)
platforms.1505,United Kingdom,10e91839-7c30-468f-b747-77d564c7,Operational,FLOTTA MARINE OIL TERMINAL,TERMINAL,FLOTTA MARINE OIL TERMINAL,,,,,,,,,369.03990029,,POINT (58.838859717 -3.11910658499994)
platforms.1506,United Kingdom,60334791-c56b-4d04-a8ff-eafcba66,Operational,LEMAN D,PLATFORM,LEMAN D,ROYAL DUTCH SHELL,,,,,01/09/1971,,,45224.516867,,POINT (53.008776432 2.18431783000005)
platforms.1507,United Kingdom,8a29e9be-e42b-4e27-b909-5087768c,Decommissioned,FRIGG TCP 2,PLATFORM,FRIGG TCP 2,TOTALENERGIES UPSTREAM UK LIMITED,,,,,01/06/1977,,,164695.60257,,POINT (59.8794825160001 2.06516868200004)
platforms.1508,United Kingdom,a2314fda-0964-4fbb-9610-c5f83c4b,Operational,BRITANNIA,PLATFORM,PRODUCTION DRILLING STEEL,CHRYSAOR HOLDINGS,,,,,,,,182462.765185,Asset transfer from ConocoPhillips to Chrysaor October 2019,POINT (58.048017433 1.13726745800005)
platforms.1509,United Kingdom,609f276e-18ae-4080-9842-b2282c00,Operational,LEMAN AC,PLATFORM,LEMAN AC,ROYAL DUTCH SHELL,,,,,18/08/2014,,,48598.4127866,,POINT (53.090429026 2.13027032000002)
platforms.1510,United Kingdom,8d98617f-e76b-4065-926f-13c52a3b,Operational,TYNE TEES WAVERIDER BUOY KFB25/2012 AREA3,BUOY,TYNE TEES WAVERIDER BUOY KFB25/2012 AREA3,CEFAS,,,,,01/08/2012,,,97332.8728695,OCEANOGRAPHIC EQUIPMENT FITTED WITH A YELLOW LIGHT EXHIBITING THE SEQUENCE FL Y (5) 20S,POINT (54.9188308590001 0.749069349000024)
platforms.1511,United Kingdom,63d9d909-c119-4ec7-9b3f-5dfe7fa7,Operational,ETAP QU,PLATFORM,UTILITIES & ACCOMMODATION STEEL,BP EXPLORATION,,,,,,,,207413.978884,,POINT (57.2936149750001 1.66087266000005)
platforms.1513,United Kingdom,8e0a3cba-2d2f-4415-afc5-93ef9ae2,Operational,LEMAN J,PLATFORM,WELLHEAD ACCOMMODATION STEEL,PERENCO OIL & GAS,,,,,,,,48598.8687017,,POINT (53.0319804850001 2.21789290700002)
platforms.1514,United Kingdom,3e349287-8236-42b2-9064-78aa0b29,Operational,MIMAS MN,PLATFORM,MIMAS MN PLATFORM,CHRYSAOR HOLDINGS,,,,,,,,96117.7243374,Asset transfer from ConocoPhillips to Chrysaor October 2019,POINT (53.7621518010001 1.70474380500002)
platforms.1515,United Kingdom,4c4450e1-5685-4756-b3c5-9b2dd9c5,Closed down,NORTH VALIANT 2,PLATFORM,WELLHEAD STEEL,CHRYSAOR HOLDINGS,,,,,01/01/1987,,,66580.6922881,Platform is in cold suspension with no mobile hydrocarbons and awaiting removal.Asset transfer from ConocoPhillips to Chrysaor October 2019,POINT (53.356279242 2.03862379200007)
platforms.1516,United Kingdom,71271400-c3f5-4d0e-b957-587866e9,Operational,ELLON / GRANT BUOY,BUOY,SUBSEA WELLHEAD MARKER BUOY,TOTALENERGIES UPSTREAM UK LIMITED,,,,,02/12/2010,,,140209.879582,Decommissioned at original location and redeployed to this position,POINT (60.597971639 1.80157454000005)
